Address,Lot,Capacity,Occupied,Nearby1,Nearby2,Nearby3
445 Easterday Lane,4,280,73,125,124,123
430 N. Park Street,5,286,28,105,110,107
600 N. Park Street,6,247,113,9,10,8
325 N. Brooks Street,7,492,428,110,61,112
640 N. Park Street,8,482,165,10,6,9
955 Observatory Drive,9,333,165,10,6,8
1001 Observatory Drive,10,62,16,9,6,8
1125 Observatory Drive,11,496,483,115,23,10
1850 Linden Drive,12,282,97,39,120,37
1217 W Johnson Street,13,346,254,56,113,22
1525 Engineering Drive,14,365,18,17,114,80
48 N. Randall Ave,16,372,140,18,54,113
1525 Engineering Drive,17,340,137,14,114,18
1420 Monroe Street,18,226,223,16,19,17
15 Breese Terrace,19,151,50,18,16,17
1390 University Avenue,20,240,199,28,21,27
1221 Linden Drive,21,304,284,20,116,28
1220 W. Johnson Street,22,265,203,116,13,115
1220 Linden Drive,23,146,86,21,116,11
1188-1565 Observatory Drive,26,263,205,27,23,28
1330 Linden Drive,27,34,19,26,28,30
465 Lorch Street,28,324,268,20,30,27
21 N. Park Street,29,217,73,136,78,88
450 Henry Mall,30,195,75,28,38,27
130 N. Mills Street,33,470,216,45,53,51
1480 Tripp Circle,34,146,72,127,59,65
655 Babcock Drive,35,183,65,121,36,38
1645 Observatory Drive,36,50,39,120,121,40
651 Elm Drive,37,401,94,58,12,120
645 Babcock Drive,38,185,137,30,121,36
1811 Linden Drive,39,76,55,93,12,41
1655 Linden Drive,40,490,326,41,120,36
1820 University Avenue,41,151,54,93,40,39
965 W Dayton Street,44,313,146,61,92,112
115 N. Mills Street,45,33,10,33,92,81
301 N. Lake Street,46,245,83,83,138,69
120 East Campus Mall,48,393,273,78,87,88
33 N. Charter Street,50,36,0,51,81,33
30 N. Mills Street,51,462,49,81,50,33
155 N. Charter Street,53,85,18,33,54,86
112 N. Charter Street,54,60,42,53,113,33
255 N. Charter Street,56,277,213,86,13,53
1975 Willow Drive,58,307,38,37,12,67
2125 Observatory Drive,59,159,26,72,64,65
801 Walnut Street,60,291,184,85,76,127
930 Clymer Place,61,204,200,112,92,44
525 Easterday Lane,62,42,41,67,124,125
1655 Highland Avenue,63,153,22,65,127,59
606 Walnut Street,64,322,223,64,127,85
608 Walnut Street,65,396,344,62,123,124
280 N Frances Street,69,273,259,46,83,138
503 Walnut Street,72,481,96,59,64,124
Highland Avenue,74,89,2,95,82,139
1620 Highland Avenue,75,473,5,95,74,85
2501 University Bay Drive,76,406,52,135,60,82
110 East Campus Mall,78,425,315,48,88,87
1308 W. Dayton Street,80,263,90,113,13,54
1280 Capital Court & 40 N. Charter Street,81,349,110,51,33,50
1450 Highland Avenue,82,158,77,74,139,95
314 N. Frances Street,83,226,17,138,46,69
2245 Observatory Drive,85,300,113,127,60,65
210 N. Mills Street,86,385,339,56,53,45
W Dayton Street,87,232,111,88,48,78
105 East Campus Mall,88,131,28,78,87,48
105 N Frances Street,91,414,20,94,88,87
1015 Clymer Place,92,134,101,61,45,112
1850 University Avenue,93,398,215,39,41,123
115 N Frances Street,94,83,59,91,88,87
750 Highland Avenue,95,343,219,74,75,139
652 N Lake Street,101,449,330,102,132,6
550 N Lake Street,102,452,58,101,132,107
475 N Park Street,105,478,455,5,110,107
825 W Johnson Street,106,136,110,112,107,61
820 University Avenue,107,57,50,105,132,5
960 University Avenue,110,138,35,5,7,105
910 Clymer Place,112,117,32,61,92,106
1300 W. Dayton Street,113,57,30,80,13,54
1420 Engineering Drive,114,94,21,14,20,80
445 N Charter Street,115,406,309,116,22,11
440 N Charter Street,116,153,93,115,22,21
1455 Observatory Drive,120,260,82,36,12,40
622 Babcock Drive,121,78,14,35,36,38
1975 Linden Drive,123,186,84,67,4,125
465 Easterday Lane,124,399,385,125,4,62
455 Easterday Lane,125,359,111,124,4,62
702 Walnut Street,127,291,142,34,85,65
2003 University Bay Drive,130,178,142,131,135,76
1100-1200 Block University Bay Drive,131,496,108,130,135,82
408 N Lake Street,132,411,229,107,102,105
910 Highland Terrace,133,303,97,134,137,139
930 Highland Terrace,134,366,46,133,137,139
2415 University Bay Drive,135,236,8,76,82,74
23 N. Park Street,136,474,424,29,78,48
1625 Highland Avenue,137,411,210,139,133,134
